;Компания;Тикер;TimerStart;TimerStop;Количество;Вложено;Продано;Чистая прибыль;Эффективность;Доход за акцию;Мой индекс;Время владения
;;$IBN;2020-06-09T18:56:55+03:00;2020-06-18T10:38:15+03:00;460;-4090,99;4181,91;90,92;2,22;0,198;18383,81;17 days, 19:51:29
;;$LUMN;2021-01-04T23:40:51+03:00;2021-01-06T19:26:19+03:00;155;-1518,36;1598,90;80,54;5,3;0,52;34405,08;14 days, 5:50:52
;;$GT;2020-05-02T01:37:53+03:00;2020-05-08T10:54:29+03:00;16;-104,12;112,74;8,62;8,28;0,539;615,53;6 days, 9:16:36
;;$AAL;2020-09-02T15:28:24+03:00;2020-11-09T15:42:24+03:00;82;-964,01;1037,28;73,27;7,6;0,894;40821,71;83 days, 8:19:01
;;$EBAY;2020-05-20T21:37:49+03:00;2020-05-22T20:59:27+03:00;14;-596,61;603,79;7,18;1,2;0,513;61,88;1 day, 23:21:38
;;$MNK;2020-05-19T19:14:53+03:00;2020-05-20T17:42:06+03:00;30;-95,12;102,24;7,12;7,49;0,237;379,17;22:27:13
;;$CARS;2020-11-10T20:31:58+03:00;2020-11-11T21:53:12+03:00;1117;-6807,63;7501,10;693,47;10,19;0,621;4901698,96;74 days, 15:25:04
;;$MA;2020-07-09T17:53:43+03:00;2020-07-10T20:39:54+03:00;9;-2632,93;2639,83;6,90;0,26;0,767;12,38;22 days, 4:31:02
;;$AMD;2020-06-23T23:46:50+03:00;2020-07-09T16:57:03+03:00;535;-28596,11;29133,24;537,13;1,88;1,004;542406,34;70 days, 14:20:42
;;$JNJ;2020-03-30T21:53:57+03:00;2020-04-07T01:07:14+03:00;1;-133,00;138,83;5,83;4,38;5,83;148,87;7 days, 3:13:17
;;$SPGI;2020-04-07T10:16:22+03:00;2020-04-09T21:20:31+03:00;3;-789,26;833,50;44,24;5,61;14,747;10980,01;2 days, 11:04:09
;;$QCOM;2020-04-30T11:11:38+03:00;2020-05-11T22:05:01+03:00;30;-2380,89;2423,56;42,67;1,79;1,422;3258,34;11 days, 10:53:23
;;$GE;2020-04-21T15:35:30+03:00;2020-04-21T17:34:01+03:00;13;-90,86;95,09;4,23;4,66;0,325;83,28;17 days, 1:01:00
;;$GOOG;2020-08-04T12:33:10+03:00;2020-08-07T17:19:19+03:00;33;-45576,27;45926,85;350,58;0,77;10,624;94641,12;18 days, 20:42:07
;;$NVDA;2021-01-07T00:49:17+03:00;2021-01-07T17:40:13+03:00;50;-18358,24;18685,61;327,37;1,78;6,547;190752,93;86 days, 19:26:10
;;$AAPL;2020-05-07T17:00:56+03:00;2020-05-07T22:45:48+03:00;5;-1468,73;1500,99;32,26;2,2;6,452;2289,56;5:47:17
;;$GOOGL;2020-09-03T23:23:23+03:00;2020-11-04T18:45:43+03:00;2;-3199,21;3505,75;306,54;9,58;153,27;900201,67;61 days, 19:22:20
;;$ZYXI;2020-05-21T17:46:51+03:00;2020-05-26T10:49:00+03:00;2;-36,67;39,99;3,32;9,05;1,66;99,75;4 days, 17:02:09
;;$AMAT;2020-08-31T22:47:01+03:00;2020-10-12T20:40:41+03:00;60;-3690,85;3901,65;210,80;5,71;3,513;253709,14;41 days, 21:53:40
;;$NDAQ;2020-05-08T11:57:44+03:00;2020-05-11T22:14:38+03:00;12;-1295,69;1298,40;2,71;0,21;0,226;1,54;3 days, 11:52:08
;;$PYPL;2020-05-08T11:01:26+03:00;2020-05-19T22:37:17+03:00;6;-861,99;879,08;17,09;1,98;2,848;578,23;11 days, 11:35:51
;;$MRNA;2020-05-19T19:21:59+03:00;2020-05-20T23:13:12+03:00;11;-747,38;763,58;16,20;2,17;1,473;569,6;1 day, 4:13:29
;;$WMT;2020-05-19T14:53:35+03:00;2020-06-10T10:07:03+03:00;26;-3156,13;3170,42;14,29;0,45;0,55;91,96;21 days, 19:13:28
;;$AMZN;2020-05-01T21:09:02+03:00;2020-05-01T21:19:48+03:00;6;-14292,23;14304,96;12,73;0,09;2,122;14,59;2:45:08
;;$MSFT;2020-09-10T22:09:54+03:00;2020-10-12T13:56:24+03:00;370;-67133,91;68144,79;1010,88;1,51;2,732;1542975,29;145 days, 19:56:08
;;$INTC;2020-07-28T17:14:13+03:00;2021-01-06T19:28:16+03:00;373;-19862,91;20864,47;1001,56;5,04;2,685;5055459,43;197 days, 5:36:55
;;$WU;2020-03-25T21:21:36+03:00;2020-03-26T17:05:14+03:00;6;-117,78;119,64;1,86;1,58;0,31;5,47;19:43:38
;;$AMGN;2020-05-20T12:10:34+03:00;2020-05-26T10:46:33+03:00;1;-229,31;231,12;1,81;0,79;1,81;2,59;5 days, 22:35:59
;;$XNCR;2020-03-20T20:11:42+03:00;2020-03-25T21:14:43+03:00;9;-268,10;269,01;0,91;0,34;0,101;0,28;5 days, 1:03:01
;;$V;2020-03-16T10:15:31+03:00;2020-03-30T10:34:36+03:00;3;-488,96;480,95;-8,01;-1,64;-2,67;-105,22;14 days, 0:19:05
;;$TSLA;2020-12-10T00:01:33+03:00;2020-12-10T21:52:17+03:00;45;-32761,91;32735,64;-26,27;-0,08;-0,584;-55,23;2 days, 20:32:35
;;$FB;2020-06-25T10:26:52+03:00;2020-06-25T10:27:44+03:00;6;-1030,18;1009,80;-20,38;-1,98;-3,397;-822,46;14 days, 0:13:41
;;$LPL;2020-03-16T13:13:45+03:00;2020-03-30T10:05:50+03:00;10;-47,14;44,37;-2,77;-5,88;-0,277;-45,12;13 days, 20:52:05
